update,total_steps,episodes,avg_reward,policy_loss,value_loss,entropy
1,8192,1,-164.3793,-0.004201,0.038380,2.765466
2,16384,2,-339.6787,0.004265,0.267346,2.758356
3,24576,3,-256.8870,-0.000256,0.529348,2.763689
4,32768,4,-292.4682,-0.001384,0.132749,2.762348
5,40960,6,-327.3174,-0.002700,0.454686,2.756237
6,49152,7,-270.6930,-0.003498,0.389396,2.746917
7,57344,9,-282.1660,-0.002089,1.777796,2.740254
8,65536,10,-316.5282,-0.004016,0.155360,2.752731
9,73728,11,-237.1555,0.000420,9.845841,2.756004
10,81920,12,-245.3596,-0.001294,0.520551,2.763039
11,90112,14,-172.9050,-0.001182,7.370724,2.764115
12,98304,15,-173.4880,-0.000998,0.434029,2.760405
13,106496,16,-173.5831,-0.002534,0.156326,2.759817
14,114688,18,-170.1766,-0.001594,0.793168,2.758532
15,122880,19,-178.5476,-0.005815,0.041636,2.757518
16,131072,20,-191.8017,-0.002929,0.107120,2.760440
17,139264,21,-192.1571,-0.001707,0.028900,2.757707
18,147456,23,-193.3010,-0.009205,0.023879,2.752031
19,155648,24,-194.2757,-0.004283,0.027285,2.756007
20,163840,25,-180.7112,-0.000836,1.008942,2.756151
21,172032,27,-182.2276,-0.002972,0.117813,2.741339
22,180224,28,-183.5199,-0.005875,0.047974,2.740947
23,188416,29,-191.4190,-0.004109,0.156345,2.730222
24,196608,30,-196.8288,-0.000231,11.637867,2.728862
25,204800,32,-167.4528,-0.000911,0.169333,2.746864
26,212992,33,-173.6031,-0.005423,0.137806,2.729901
27,221184,34,-144.6573,0.000068,8.599144,2.719215
28,229376,36,-165.7276,-0.002051,0.245005,2.709016
29,237568,37,-178.1572,-0.002381,0.202456,2.736698
30,245760,38,-186.9414,-0.000345,10.014973,2.737351
31,253952,40,-133.7683,-0.001688,9.154600,2.715851
32,262144,41,-137.1437,-0.001307,0.468104,2.686953
33,270336,42,-143.0826,-0.003690,0.159285,2.752097
34,278528,43,-147.7734,-0.005002,0.062618,2.757029
35,286720,45,-154.2549,-0.001527,0.083411,2.752271
36,294912,46,-156.2549,-0.003493,0.039306,2.745892
37,303104,47,-158.3691,-0.007125,0.061319,2.742214
38,311296,49,-136.8100,-0.001108,9.979638,2.760703
39,319488,50,-144.7186,-0.002936,0.193258,2.731977
40,327680,51,-146.2705,-0.003493,0.167154,2.716431
41,335872,52,-137.9523,0.009633,4.802626,2.759156
42,344064,54,-140.9263,-0.001810,0.236070,2.760420
43,352256,55,-144.1633,-0.004826,0.177648,2.753101
44,360448,56,-145.4339,-0.010158,0.045241,2.760665
45,368640,58,-127.7913,0.001614,5.985666,2.762582
46,376832,59,-127.8670,-0.008761,0.015818,2.757947
47,385024,60,-129.3695,-0.006079,0.049346,2.756645
48,393216,61,-131.0225,-0.005289,0.073681,2.748012
49,401408,63,-127.2423,-0.003506,0.740978,2.754106
50,409600,64,-125.7031,-0.000882,0.134229,2.743325
51,417792,65,-123.2509,-0.004488,0.322287,2.757128
52,425984,67,-130.6255,-0.004778,0.500397,2.723555
53,434176,68,-135.1889,-0.003227,0.138925,2.728045
54,442368,69,-138.0412,-0.000568,6.041673,2.706076
55,450560,70,-117.7970,-0.002305,1.610538,2.746446
